card_status     amount_vs_daily amount_vs_monthly       amount_vs_balance       expiry  terminal_type   mcc
EXPIRED below   below   below   expired pos     restaurant
INACTIVE        below   below   below   valid   ecom    restaurant
INACTIVE        below   below   below   current_month   atm     electronics
BLOCKED below   below   below   valid   pos     grocery
ACTIVE  below   below   below   expired ecom    electronics
INACTIVE        below   below   below   current_month   pos     travel
ACTIVE  equal   equal   above   valid   atm     travel
BLOCKED below   below   below   current_month   ecom    travel
EXPIRED below   below   below   expired ecom    grocery
ACTIVE  above   below   equal   valid   pos     electronics
INACTIVE        below   below   below   expired atm     grocery
ACTIVE  above   above   equal   current_month   ecom    travel
EXPIRED below   below   below   expired atm     electronics
ACTIVE  equal   above   above   current_month   atm     grocery
ACTIVE  above   equal   above   current_month   atm     restaurant
ACTIVE  below   above   equal   valid   atm     restaurant
ACTIVE  below   equal   above   current_month   pos     electronics
ACTIVE  equal   below   above   valid   ecom    travel
ACTIVE  equal   above   below   current_month   pos     electronics
BLOCKED below   below   below   expired atm     restaurant
ACTIVE  above   equal   below   valid   ecom    grocery
EXPIRED below   below   below   expired ecom    travel
ACTIVE  equal   equal   equal   current_month   atm     grocery
ACTIVE  equal   equal   equal   valid   pos     restaurant
BLOCKED below   below   below   valid   pos     electronics
