operation_type  pan     bin     expiry_date     cardholder_name limit_param     card_status
create  valid_16        invalid_length  invalid_over_12 valid   positive        active
create  valid_16        invalid_length  valid_MM        empty_string    positive        active
create  valid_16        invalid_letters valid_MM        valid   positive        active
delete  fail    valid_6 valid_MM        valid   positive        active
read_one        invalid_length  valid_6 valid_MM        valid   positive        deleted
read_one        valid_16        valid_6 valid_MM        valid   positive        active
create  valid_16        invalid_letters invalid_over_12 empty_string    positive        active
create  valid_16        invalid_length  invalid_00      valid   positive        active
delete  valid_16        valid_6 valid_MM        valid   positive        deleted
read_one        fail    valid_6 valid_MM        valid   positive        deleted
create  valid_16        valid_6 invalid_00      empty_string    positive        active
read_all        valid_16        valid_6 valid_MM        valid   zero    active
read_all        valid_16        valid_6 valid_MM        valid   negative        active
create  valid_16        invalid_letters invalid_00      valid   positive        active
delete  invalid_length  valid_6 valid_MM        valid   positive        active
read_all        valid_16        valid_6 valid_MM        valid   positive        active
create  valid_16        valid_6 invalid_over_12 empty_string    positive        active
